complex_name,compound_group,smiles,experimental_pKD,covalent,fragment_screen,pb_valid_prepared,pb_valid_ref,suspected_artefact,sucos_shape,pocket_qcov,sucos_shape_pocket_qcov
A71EV2A-x0309a,x0309a,Cn1ccnc1-c1noc(C2CCC2)n1,,False,True,True,True,False,48.2455,28.5714,13.7844
A71EV2A-x0310a,x0310a,Cc1nn(C)c(C)c1NC(=O)CC#N,,False,True,True,True,False,57.562,95,54.6839
A71EV2A-x0332a,x0332a_x2458a,CNS(=O)(=O)c1ccccc1Cl,,False,True,True,True,False,74.5084,22.2222,16.5574
A71EV2A-x0333a,x0333a,CS(=O)(=O)NCCc1ccccc1,,False,True,True,True,True,78.3919,28.5714,22.3977
A71EV2A-x0351c,x0351a_x0351b_x0351c,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,,False,True,True,True,True,42.0468,20,8.4094
A71EV2A-x0351a,x0351a_x0351b_x0351c,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,,False,True,True,True,False,38.1826,94.4444,36.0613
A71EV2A-x0351b,x0351a_x0351b_x0351c,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,,False,True,True,True,False,54.9144,33.3333,18.3048
A71EV2A-x0354a,x0354a,C[C@]1(NC(=O)C2CC2)CCS(=O)(=O)C1,,False,True,True,True,False,63.3071,25,15.8268
A71EV2A-x0359a,x0359a,CN(C)Cc1ccc(C#N)cc1,,False,True,True,True,False,48.3711,71.4286,34.5508
A71EV2A-x0365a,x0365a,Cn1ccc(NCc2ccccc2)n1,,False,True,True,True,False,50.0432,86.6667,43.3708
A71EV2A-x0375c,x0375a_x0375b_x0375c,COc1ccccc1NC(N)=S,,False,True,True,True,True,51.1565,20,10.2313
A71EV2A-x0375a,x0375a_x0375b_x0375c,COc1ccccc1NC(N)=S,,False,True,True,True,False,44.5676,63.6364,28.3612
A71EV2A-x0375b,x0375a_x0375b_x0375c,COc1ccccc1NC(N)=S,,False,True,True,True,False,50.2799,94.7368,47.6336
A71EV2A-x0395a,x0395a_x0395b,CC(CO)(CO)NC(=O)Nc1ccccc1,,False,True,True,True,True,53.1905,33.3333,17.7302
A71EV2A-x0395b,x0395a_x0395b,CC(CO)(CO)NC(=O)Nc1ccccc1,,False,True,True,True,True,56.9099,12.5,7.1137
A71EV2A-x0396a,x0396a,COCc1nnc(N)s1,,False,True,True,True,True,67.1363,33.3333,22.3788
A71EV2A-x0412a,x0412a,CCn1c(NC(C)=O)nc2ccccc21,,False,True,True,True,True,48.573,20,9.7146
A71EV2A-x0416a,x0416a,Cc1ccc(NC(=O)[C@@H]2CCCO2)nc1,,False,True,True,True,False,52.2904,94.7368,49.5383
A71EV2A-x0428a,x0428a_x2448a_x2448b,CN(C)S(=O)(=O)c1cccnc1,,False,True,True,True,False,55.5967,12.5,6.9496
A71EV2A-x0432a,x0432a_x0900a,Nc1ccc(-c2ncno2)cc1,,False,True,True,True,True,62.6987,11.1111,6.9665
A71EV2A-x0437a,x0437a,CCNc1ccc(C)nn1,,False,True,True,True,False,52.825,87.5,46.2219
A71EV2A-x0443a,x0443a,Cc1cn2ccccc2n1,,False,True,True,True,False,44.0785,87.5,38.5687
A71EV2A-x0446a,x0446a,CNC(=O)c1cnc(C)s1,,False,True,True,True,False,58.8307,68.4211,40.2526
A71EV2A-x0450a,x0450a,CN(C)C(=O)c1ccc(F)cc1Br,,False,True,True,True,False,39.8928,93.75,37.3995
A71EV2A-x0451a,x0451a_x3066a,CNC(=O)c1cn(C)c2ccccc12,,False,True,True,True,False,50.2885,90,45.2596
A71EV2A-x0469a,x0469a,CC(C)N1CCN(c2ncccn2)CC1,,False,True,True,True,False,44.5684,83.3333,37.1403
A71EV2A-x0473a,x0473a,O=S(=O)(NC1CCCC1)C1CCOCC1,,False,True,True,True,False,49.9945,61.5385,30.7658
A71EV2A-x0486a,x0486a,CN(C)C(=O)Cn1ncc2ccccc21,,False,True,True,True,False,78.7727,28.5714,22.5065
A71EV2A-x0487a,x0487a,CC(=O)Nc1ccncc1C,,False,True,True,True,False,57.1501,95,54.2926
A71EV2A-x0488a,x0488a,O=c1ccncn1CCO,,False,True,True,True,True,54.1831,33.3333,18.061
A71EV2A-x0497a,x0497a,N#Cc1n[nH]c2ccccc12,,False,True,True,True,True,59.3678,25,14.8419
A71EV2A-x0501a,x0501a_x0501b,COc1ccccc1-c1nnco1,,False,True,True,True,False,48.1745,95,45.7657
A71EV2A-x0501b,x0501a_x0501b,COc1ccccc1-c1nnco1,,False,True,True,True,False,47.7873,95.2381,45.5117
A71EV2A-x0514b,x0514a_x0514b,COc1ccc2sc(N)nc2c1,,False,True,True,True,True,53.4079,28.5714,15.2594
A71EV2A-x0514a,x0514a_x0514b,COc1ccc2sc(N)nc2c1,,False,True,True,True,False,47.2439,88.2353,41.6858
A71EV2A-x0515c,x0515a_x0515b_x0515c,COC(=O)c1ccncc1N,,False,True,True,False,True,63.6727,20,12.7345
A71EV2A-x0515a,x0515a_x0515b_x0515c,COC(=O)c1ccncc1N,,False,True,True,True,False,55.3412,72.2222,39.9687
A71EV2A-x0515b,x0515a_x0515b_x0515c,COC(=O)c1ccncc1N,,False,True,True,True,False,43.3165,94.1176,40.7685
A71EV2A-x0517a,x0517a,CCn1cc(C(=O)NCc2ccc(F)cc2)cn1,,False,True,True,True,False,45.5115,10,4.5512
A71EV2A-x0525a,x0525a,O=c1ccc(OC(F)F)c[nH]1,,False,True,True,True,False,48.8741,71.4286,34.9101
A71EV2A-x0526a,x0526a,Cc1nccn1-c1cccnc1,,False,True,True,True,False,53.3753,64.2857,34.3127
A71EV2A-x0528a,x0528a_x0528b,CN1CC[C@@H](Oc2cccc(F)c2)C1=O,,False,True,True,True,False,49.778,86.3636,42.9901
A71EV2A-x0528b,x0528a_x0528b,CN1CC[C@@H](Oc2cccc(F)c2)C1=O,,False,True,True,True,True,52.9504,28.5714,15.1287
A71EV2A-x0540a,x0540a,N#Cc1ccc(CNCc2ccc(F)cc2)cc1,,False,True,True,True,False,52.5527,83.3333,43.7939
A71EV2A-x0541a,x0541a,Cc1noc(C)c1C[C@@H](C)C(=O)N(C)C,,False,True,True,True,False,48.2836,12.5,6.0354
A71EV2A-x0554b,x0554a_x0554b,CC(=O)Nc1cccc2cc[nH]c12,,False,True,True,True,False,66.7867,0,0
A71EV2A-x0554a,x0554a_x0554b,CC(=O)Nc1cccc2cc[nH]c12,,False,True,True,True,False,56.4625,95,53.6394
A71EV2A-x0556a,x0556a,Cn1cc(N)c(C(=O)NC2CCC2)n1,,False,True,True,True,False,43.1059,86.3636,37.2278
A71EV2A-x0566a,x0566a,CNC(=O)c1cccc2cc[nH]c12,,False,True,True,True,False,52.5975,94.7368,49.8292
A71EV2A-x0571a,x0571a,COCc1cc(C(N)=O)no1,,False,True,True,True,False,52.1429,14.2857,7.449
A71EV2A-x0586a,x0586a,CN1CCCc2ccc(S(N)(=O)=O)cc21,,False,True,True,True,False,56.9188,22.2222,12.6486
A71EV2A-x0691a,x0691a,CNc1ccccc1S(C)(=O)=O,,False,True,True,True,False,50.2518,25,12.5629
A71EV2A-x0717a,x0717a,Cc1n[nH]c(C)c1S(=O)(=O)N(C)C,,False,True,True,True,False,55.2498,28.5714,15.7856
A71EV2A-x0719b,x0719a_x0719b,C[C@H](CS(N)(=O)=O)c1ccccc1,,False,True,True,True,True,38.7666,33.3333,12.9222
A71EV2A-x0719a,x0719a_x0719b,C[C@H](CS(N)(=O)=O)c1ccccc1,,False,True,True,True,False,46.1747,94.4444,43.6094
A71EV2A-x0732a,x0732a,Cc1cc(C)c(NC(=O)CO)c(C)c1,,False,True,True,True,False,46.6015,82.3529,38.3777
A71EV2A-x0739a,x0739a,Cc1ccc(OCC(=O)N2CCOCC2)c(C)c1,,False,True,True,True,False,46.5233,81.8182,38.0645
A71EV2A-x0812a,x0812a,Cn1nc(C(N)=O)c2ccccc21,,False,True,True,True,False,48.9619,91.6667,44.8817
A71EV2A-x0831a,x0831a,Nc1cccc(OCc2ccccc2)c1,,False,True,True,True,True,52.6986,8.3333,4.3916
A71EV2A-x0836a,x0836a_x0836b,COc1ccc([C@H](N)c2ccccc2)cc1,,False,True,True,True,False,51.9729,93.3333,48.508
A71EV2A-x0836b,x0836a_x0836b,COc1ccc([C@H](N)c2ccccc2)cc1,,False,True,True,True,False,39.4056,69.2308,27.2808
A71EV2A-x0853a,x0853a,O=C(NC1CC1)c1ccc2c(c1)OCO2,,False,True,True,True,False,48.1619,53.8462,25.9333
A71EV2A-x0884a,x0884a_x2454a,CC(=O)Nc1cccc(NC(N)=O)c1,,False,True,True,True,False,50.4986,90,45.4487
A71EV2A-x0900a,x0432a_x0900a,Nc1ccc(-c2ncno2)cc1,,False,True,True,True,True,45.0122,33.3333,15.0041
A71EV2A-x0911a,x0911a,CN(C(=O)[C@H]1CCNC1)c1ccccc1,,False,True,True,True,False,36.7504,69.2308,25.4426
A71EV2A-x0922a,x0922a,Cc1ccccc1OCC(=O)N(C)C,,False,True,True,True,False,56.0554,86.9565,48.7438
A71EV2A-x0926a,x0926a,COCC(=O)N1CCC[C@H](C(N)=O)C1,,False,True,True,True,False,49.6606,84.2105,41.8194
A71EV2A-x1019a,x1019a,COc1cc(Br)ccc1CC(=O)O,,False,True,True,True,False,45.4972,93.75,42.6536
A71EV2A-x1068b,x1068a_x1068b_x1068c,Nc1ncccn1,,False,True,True,True,True,64.7524,14.2857,9.2503
A71EV2A-x1068a,x1068a_x1068b_x1068c,Nc1ncccn1,,False,True,True,True,False,53.1332,93.3333,49.591
A71EV2A-x1068c,x1068a_x1068b_x1068c,Nc1ncccn1,,False,True,True,True,True,54.2738,75,40.7053
A71EV2A-x1080a,x1080a,CCC(=O)NO,,False,True,True,True,False,54.8234,90,49.3411
A71EV2A-x1081a,x1081a_x1081b,O=C1NCCN1,,False,True,True,True,True,50.6548,33.3333,16.8849
A71EV2A-x1081b,x1081a_x1081b,O=C1NCCN1,,False,True,True,True,True,76.5996,0,0
A71EV2A-x1084a,x1084a,NC(=O)C1(N)CC1,,False,True,True,True,True,47.3021,33.3333,15.7674
A71EV2A-x1105a,x1105a_x1105b,c1ccc(-c2ccncc2)cc1,,False,True,True,True,True,44.4799,42.8571,19.0628
A71EV2A-x1105b,x1105a_x1105b,c1ccc(-c2ccncc2)cc1,,False,True,True,True,True,46.9348,14.2857,6.705
A71EV2A-x1109a,x1109a,O=C(O)c1cnc(-c2ccccc2)s1,,False,True,True,True,True,43.6957,11.1111,4.8551
A71EV2A-x1128a,x1128a,Oc1nnc(-c2ccccc2)o1,,False,True,True,True,True,46.0411,33.3333,15.347
A71EV2A-x1140a,x1140a_x1140b,O=C(CN1CCCC1)c1ccccc1Cl,,False,True,True,True,False,40.3475,83.3333,33.6229
A71EV2A-x1140b,x1140a_x1140b,O=C(CN1CCCC1)c1ccccc1Cl,,False,True,True,True,False,43.4996,88.8889,38.6663
A71EV2A-x1145b,x1145b,Fc1ccc(C[C@@H]2CCCNC2)cc1,,False,True,True,True,False,42.3909,33.3333,14.1303
A71EV2A-x1145a,x1145a,Fc1ccc(C[C@H]2CCCNC2)cc1,,False,True,True,True,True,69.0024,0,0
A71EV2A-x1146a,x1146a,Oc1cnc(-c2ccccc2)nc1,,False,True,True,True,True,40.6813,33.3333,13.5604
A71EV2A-x1148b,x1148a_x1148b,Brc1c[nH]cn1,,False,True,True,True,True,51.2674,42.8571,21.9717
A71EV2A-x1148a,x1148a_x1148b,Brc1c[nH]cn1,,False,True,True,True,False,52.2107,92.3077,48.1945
A71EV2A-x1180a,x1180a_x1180b,Clc1c[nH]cn1,,False,True,True,True,False,52.4425,60,31.4655
A71EV2A-x1180b,x1180a_x1180b,Clc1c[nH]cn1,,False,True,True,True,False,49.5747,92.8571,46.0337
A71EV2A-x1209a,x1209a,Brc1ncc[nH]1,,False,True,True,True,False,47.4677,92.8571,44.0772
A71EV2A-x1255a,x1255a,COCCn1ccc(Br)cc1=O,,False,True,True,True,False,42.6176,93.3333,39.7764
A71EV2A-x1292a,x1292a,O=C(NC1CC1)c1ccccc1O,,False,True,True,True,False,44.4962,87.5,38.9342
A71EV2A-x1293a,x1293a,Nc1nnc2ccccn12,,False,True,True,True,False,45.2486,30,13.5746
A71EV2A-x1346a,x1346a,Cc1nn(C)c(C)c1CC(=O)N[C@@H](CNC(=O)CCl)c1ccc2ccccc2c1,4.6608,False,False,True,True,False,37.7709,87.5,33.0496
A71EV2A-x1445a,x1445a_x1445b,COc1cc(NC(=O)C[C@@H](C)C(F)(F)F)n(C)n1,4.632,False,False,True,True,False,39.8145,82.3529,32.7884
A71EV2A-x1445b,x1445a_x1445b,COc1cc(NC(=O)C[C@@H](C)C(F)(F)F)n(C)n1,4.632,False,False,True,True,False,49.8051,66.6667,33.2034
A71EV2A-x1776a,x1776a,CC(=O)Nc1ccc(C(=O)[C@H](C)S)cc1,4.1807,True,False,False,False,False,42.9338,86.3636,37.0792
A71EV2A-x1778a,x1778a,CC(=O)N1CCc2cc(C(=O)[C@H](C)S)ccc21,5.1514,True,False,False,False,False,50.6291,87.5,44.3004
A71EV2A-x2290a,x2290a,CNC(=O)c1nn(C)c2ccccc12,5.3762,False,False,True,False,False,50.7497,95,48.2122
A71EV2A-x2293a,x2293a,Cn1nc(C(=O)NC[C@@H]2Cc3ccccc3CN2)c2ccccc21,5.0414,False,False,True,False,False,38.5734,86.9565,33.5421
A71EV2A-x2304a,x2304a,Cn1nc(C(=O)Nc2cn[nH]c2)c2ccccc21,4.7784,False,False,True,False,False,47.1518,95.4545,45.0086
A71EV2A-x2339a,x2339a,Cn1nc(C(=O)NC2CC2)c2cc(F)ccc21,4.8874,False,False,True,False,False,46.4926,96,44.6329
A71EV2A-x2351a,x2351a,Cn1nc(C(N)=O)c2cc(F)ccc21,5.0507,False,False,True,False,False,45.6079,92,41.9593
A71EV2A-x2448a,x0428a_x2448a_x2448b,CN(C)S(=O)(=O)c1cccnc1,5.1075,False,True,True,False,False,60.7374,12.5,7.5922
A71EV2A-x2448b,x0428a_x2448a_x2448b,CN(C)S(=O)(=O)c1cccnc1,5.1075,False,True,True,False,False,60.7374,12.5,7.5922
A71EV2A-x2454a,x0884a_x2454a,CC(=O)Nc1cccc(NC(N)=O)c1,4.9431,False,True,True,False,False,43.5116,95.4545,41.5338
A71EV2A-x2458a,x0332a_x2458a,CNS(=O)(=O)c1ccccc1Cl,6.0349,False,True,True,False,False,55.6261,12.5,6.9533
A71EV2A-x2513a,x2513a,COc1ccc(Cl)c2c1C(=O)C(=O)N2,4.6289,False,False,True,False,False,54.5706,88.8889,48.5072
A71EV2A-x2629a,x2629a,COc1ccccc1NC(=O)Nc1cccnc1,4.7409,False,False,True,False,False,52.4359,75,39.3269
A71EV2A-x2846a,x2846a,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,,False,False,True,False,False,46.5693,92.3077,42.987
A71EV2A-x2972a,x2972a,Cn1nc(C(=O)NCc2c[nH]cn2)c2ccccc21,,False,False,True,False,False,47.4235,92.3077,43.7755
A71EV2A-x3054a,x3054a,Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,4.2464,False,False,True,True,False,48.3243,95.8333,46.3108
A71EV2A-x3066a,x0451a_x3066a,CNC(=O)c1cn(C)c2ccccc12,4.8228,False,True,True,False,False,42.1924,95.2381,40.1832
A71EV2A-x3175a,x3175a,Cc1cc(CNC(=O)c2cn(C)c3ccccc23)on1,4.9536,False,False,True,True,False,54.5242,70,38.1669
A71EV2A-x3176a,x3176a,COC[C@H](C)NC(=O)c1nn(C)c2ccccc12,4.7471,False,False,True,True,False,46.8025,92.3077,43.2023
A71EV2A-x3177a,x3177a,Cn1nc(C(=O)N[C@H]2C[C@H]2CO)c2ccccc21,4.8959,False,False,True,True,False,47.4533,92,43.6571
A71EV2A-x3178a,x3178a,Cn1nc(C(=O)N[C@H]2CCOC2)c2ccccc21,5.0623,False,False,True,True,False,44.4982,92.5926,41.202
A71EV2A-x3181a,x3181a_x3181b,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,4.9396,False,False,True,True,False,40.7181,88.8889,36.1939
A71EV2A-x3181b,x3181a_x3181b,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,4.9396,False,False,True,True,False,47.9308,54.5455,26.1441
A71EV2A-x3186a,x3186a,COc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1,4.1284,False,False,True,False,False,40.7401,91.3043,37.1975
A71EV2A-x3188a,x3188a_x3189a_x3914a,Cn1cc2c(CC(=O)N3CCC[C@H](C(N)=O)C3)cccc2n1,,False,False,True,True,False,45.0558,95.8333,43.1785
A71EV2A-x3189a,x3188a_x3189a_x3914a,Cn1cc2c(CC(=O)N3CCC[C@H](C(N)=O)C3)cccc2n1,,False,False,True,True,False,42.1467,95.8333,40.3906
A71EV2A-x3191a,x3191a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3occc23)C1,3.9603,False,False,True,True,False,46.5581,95.8333,44.6181
A71EV2A-x3193a,x3193a,NC(=O)[C@H]1CCCN(C(=O)Cc2ccnc(Cl)c2Br)C1,4.1622,False,False,True,True,False,42.4038,95.6522,40.5601
A71EV2A-x3194a,x3194a,Cc1cc(CC(=O)N2CCC[C@H](C(N)=O)C2)ccn1,,False,False,True,True,False,42.69,96,40.9824
A71EV2A-x3201a,x3201a_x3920a_x4347a,COc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1,4.3242,False,False,True,True,False,39.9523,95.8333,38.2877
A71EV2A-x3207a,x3207a,NC(=O)[C@H]1CCCN(C(=O)Cc2ccnc(N)c2)C1,,False,False,True,True,False,45.1901,95.6522,43.2253
A71EV2A-x3208a,x3208a,NC(=O)[C@H]1CCCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1,4.9069,False,False,True,True,False,41.6185,91.6667,38.1503
A71EV2A-x3210a,x3210a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3cn[nH]c23)C1,5.0112,False,False,True,True,False,44.3629,95.8333,42.5145
A71EV2A-x3218a,x3218a,NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CCNc3[nH]ncc32)C1,5.5562,False,False,True,True,False,41.3876,95.2381,39.4167
A71EV2A-x3221a,x3221a,Cc1nc(C)c(CC(=O)N2CCC[C@H](C(N)=O)C2)[nH]1,5.4095,False,False,True,True,False,45.1867,84,37.9568
A71EV2A-x3222a,x3222a,NC(=O)[C@H]1CCCN(C(=O)c2[nH]ncc2Br)C1,,False,False,True,True,False,45.7956,91.3043,41.8133
A71EV2A-x3223a,x3223a,NC(=O)[C@H]1CCCN(C(=O)c2ccnc3[nH]ncc23)C1,4.7878,False,False,True,False,False,38.9446,85.7143,33.3811
A71EV2A-x3225a,x3225a,Cc1nc2ccccc2n1CC(=O)N1CCC[C@H](C(N)=O)C1,4.1378,False,False,True,True,False,38.8234,91.6667,35.5882
A71EV2A-x3229a,x3229a_x3548a,COc1ccncc1CC(=O)N1CCC[C@H](C(N)=O)C1,4.4437,False,False,True,True,False,43.4943,92,40.0148
A71EV2A-x3234a,x3234a,Cc1cc(C)c(Nc2ccn(C3COC3)n2)c(C)c1,5.0168,False,False,True,False,False,49.2347,95,46.773
A71EV2A-x3264a,x3264a,Cn1nc(C(=O)NCCc2cocn2)c2cccnc21,4.9817,False,False,True,True,False,47.3052,92.3077,43.6664
A71EV2A-x3279a,x3279a,Cc1cc(C)c(Nc2ccn(C)n2)c(C)c1,5.3072,False,False,True,True,False,45.664,90.9091,41.5128
A71EV2A-x3280a,x3280a,Cn1nc(C(=O)NCC(F)(F)c2ccccn2)c2ccccc21,5.1681,False,False,True,False,False,38.0721,89.2857,33.993
A71EV2A-x3286a,x3286a,Cc1ocnc1CCNC(=O)c1nn(C)c2ccccc12,5.098,False,False,True,True,False,44.5281,92.3077,41.1029
A71EV2A-x3305a,x3305a,Cc1ccc2c(cnn2C)c1Nc1ccn([C@H]2CCNC2=O)n1,4.937,False,False,True,True,False,45.3708,95.2381,43.2103
A71EV2A-x3306a,x3306a,Cn1nc(C(=O)NCCc2cscn2)c2ccccc21,5.338,False,False,True,True,False,45.2523,92.3077,41.7713
A71EV2A-x3324a,x3324a,Cn1nc(C(=O)NCCc2ccc(S(C)(=O)=O)cc2)c2ccccc21,4.8489,False,False,True,True,False,32.8193,82.7586,27.1608
A71EV2A-x3579a,x3579a_x4029a,COc1ccccc1CN1C[C@@H](C(N)=O)CCC1=O,4.9569,False,False,True,True,False,48.5299,95.6522,46.4199
A71EV2A-x3581a,x3581a,COc1ccccc1CC(=O)N1CC[C@H](C(N)=O)C1,,False,False,True,True,False,44.9221,92.3077,41.4666
A71EV2A-x3585a,x3585a,Cc1cc(NC(=O)N2CCC[C@H](C(N)=O)C2)c2cnn(C)c2c1,,False,False,True,True,False,43.9816,91.6667,40.3164
A71EV2A-x3371a,x3371a,Cn1cnc(CCNC(=O)c2nn(C)c3ccccc23)c1,5.2372,False,False,True,True,False,43.9403,92,40.4251
A71EV2A-x3379a,x3379a_x3593a,C[C@@H](Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,4.9658,False,False,True,True,False,42.9071,88.8889,38.1396
A71EV2A-x3392a,x3392a,O=C(NCCc1cocn1)N1CCc2ccccc21,5.163,False,False,True,True,False,51.3607,88.4615,45.4345
A71EV2A-x3403a,x3403a,Cn1cc2cccc(NC(=O)Cc3cocn3)c2n1,4.6624,False,False,True,True,False,41.9729,92,38.6151
A71EV2A-x3408a,x3408a,C=CS(=O)(=O)N1CCC[C@H](C(N)=O)C1,5.1938,False,False,True,True,False,47.8987,88.2353,42.2636
A71EV2A-x3410a,x3410a,Cc1nn(C)c2cc(C(=O)NCCc3cocn3)ccc12,4.9452,False,False,True,True,False,48.0451,89.2857,42.8974
A71EV2A-x3417a,x3417a,NC(=O)[C@H]1CCCN(C(=O)NCC2CC2)C1,5.0649,False,False,True,True,False,53.3515,95.2381,50.811
A71EV2A-x3419a,x3419a,Cn1nc(C(=O)NCCc2cocn2)c2ccccc2c1=O,5.1704,False,False,True,True,False,47.0484,92.8571,43.6878
A71EV2A-x3435a,x3435a,O=C(NCCc1cocn1)c1ccccc1,5.0932,False,False,True,True,False,46.4195,92,42.7059
A71EV2A-x3436a,x3436a,Cn1ncc(C(=O)NCCc2cocn2)n1,5.5457,False,False,True,True,False,46.2812,92.3077,42.7211
A71EV2A-x3450a,x3450a,N#Cc1sccc1CC(=O)N1CCC[C@H](C(N)=O)C1,5.0084,False,False,True,True,False,45.0841,92.3077,41.6161
A71EV2A-x3480a,x3480a,N#CCc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,5.357,False,False,True,True,False,43.2253,85.7143,37.0503
A71EV2A-x3483a,x3483a,COCc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,4.8165,False,False,True,True,False,47.6275,91.6667,43.6585
A71EV2A-x3485a,x3485a,COc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,4.9561,False,False,True,True,False,44.1219,95.8333,42.2835
A71EV2A-x3488a,x3488a,COCC(=O)Nc1c(Cl)cc(C)cc1Oc1cccc(C(N)=O)c1,4.8227,False,False,True,True,False,37.0373,89.2857,33.069
A71EV2A-x3489a,x3489a,Cc1nc2n(c1CC(=O)N1CCC[C@H](C(N)=O)C1)CCCC2,5.2216,False,False,True,True,False,39.5632,88,34.8157
A71EV2A-x3509a,x3509a_x3509b,N#Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,5.1891,False,False,True,True,False,50.2404,92.3077,46.3758
A71EV2A-x3509b,x3509a_x3509b,N#Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,5.1891,False,False,True,True,False,49.1294,92,45.1991
A71EV2A-x3510a,x3510a,Cc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,4.3862,False,False,True,True,False,48.6516,91.3043,44.4211
A71EV2A-x3593a,x3379a_x3593a,C[C@@H](Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,4.9658,False,False,True,True,False,43.0306,88.8889,38.2494
A71EV2A-x3606a,x3606a,Cn1ncc(-c2cc(Cl)cc(Cl)c2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,4.9584,False,False,True,True,False,36.5566,92,33.6321
A71EV2A-x3612a,x3612a,NC(=O)[C@H]1CCCN(C(=O)Nc2ccccc2F)C1,4.8513,False,False,True,True,False,44.691,95.4545,42.6596
A71EV2A-x3616a,x3616a_x3616b,Cc1ccccc1CNC(=O)N1CCC[C@H](C(N)=O)C1,4.9788,False,False,True,True,False,42.8282,91.6667,39.2592
A71EV2A-x3616b,x3616a_x3616b,Cc1ccccc1CNC(=O)N1CCC[C@H](C(N)=O)C1,4.9788,False,False,True,True,False,43.5677,95.6522,41.6734
A71EV2A-x3618a,x3618a_x3618b,CCNC(=O)c1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,,False,False,True,True,False,37.0142,90,33.3128
A71EV2A-x3618b,x3618a_x3618b,CCNC(=O)c1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,,False,False,True,True,False,40.9672,85.7143,35.1147
A71EV2A-x3621a,x3621a,COc1ccccc1CC(=O)N1CC[C@@H](O)C1,4.9514,False,False,True,True,False,42.3363,92.3077,39.0796
