complex_name,official_compound_group_id,canonical_smiles,scaffold,experimental_pKD,split,split_method,seed
A71EV2A-x3193a,405fbac48f5085cc,NC(=O)[C@H]1CCCN(C(=O)Cc2ccnc(Cl)c2Br)C1,O=C(Cc1ccncc1)N1CCCCC1,4.162204305054052,validation,scaffold,123
A71EV2A-x3201a,49280d2c7a20d362,COc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1cccnc1)N1CCCCC1,4.324153048333832,train,scaffold,123
A71EV2A-x3208a,650f269952be0ac1,NC(=O)[C@H]1CCCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1,O=C(Cc1ccccc1)N1CCCCC1,4.906948150425689,test,scaffold,123
A71EV2A-x3210a,eb8588fb724600a6,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3cn[nH]c23)C1,O=C(Cc1cccc2cn[nH]c12)N1CCCCC1,5.011185771310347,train,scaffold,123
A71EV2A-x3218a,9cb6fa1182eda42b,NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CCNc3[nH]ncc32)C1,O=C([C@@H]1CCNc2[nH]ncc21)N1CCCCC1,5.556193958463214,train,scaffold,123
A71EV2A-x3221a,2f4ecaf1cc2e18b4,Cc1nc(C)c(CC(=O)N2CCC[C@H](C(N)=O)C2)[nH]1,O=C(Cc1cnc[nH]1)N1CCCCC1,5.409458546594426,train,scaffold,123
A71EV2A-x3225a,81f5c5f76285c85c,Cc1nc2ccccc2n1CC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cn1cnc2ccccc21)N1CCCCC1,4.137777547252243,train,scaffold,123
A71EV2A-x3229a,f2c2d1606a83a22f,COc1ccncc1CC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1cccnc1)N1CCCCC1,4.443671499997475,train,scaffold,123
A71EV2A-x3264a,b992bb5ebfcfcb4f,Cn1nc(C(=O)NCCc2cocn2)c2cccnc21,O=C(NCCc1cocn1)c1n[nH]c2ncccc12,4.981705511622298,train,scaffold,123
A71EV2A-x3279a,b13f44fabe55dcd4,Cc1cc(C)c(Nc2ccn(C)n2)c(C)c1,c1ccc(Nc2cc[nH]n2)cc1,5.3072486987698415,train,scaffold,123
A71EV2A-x3286a,f92da76c58b0a9a0,Cc1ocnc1CCNC(=O)c1nn(C)c2ccccc12,O=C(NCCc1cocn1)c1n[nH]c2ccccc12,5.09799710864927,train,scaffold,123
A71EV2A-x3305a,9bf6a7440cbef166,Cc1ccc2c(cnn2C)c1Nc1ccn([C@H]2CCNC2=O)n1,O=C1NCC[C@@H]1n1ccc(Nc2cccc3[nH]ncc23)n1,4.937001727490601,validation,scaffold,123
A71EV2A-x3306a,15a5001de38d54f4,Cn1nc(C(=O)NCCc2cscn2)c2ccccc21,O=C(NCCc1cscn1)c1n[nH]c2ccccc12,5.337951414156192,validation,scaffold,123
A71EV2A-x3324a,263c98cedd38ca61,Cn1nc(C(=O)NCCc2ccc(S(C)(=O)=O)cc2)c2ccccc21,O=C(NCCc1ccccc1)c1n[nH]c2ccccc12,4.84887783952492,train,scaffold,123
A71EV2A-x3579a,9528fac4c84c5d01,COc1ccccc1CN1C[C@@H](C(N)=O)CCC1=O,O=C1CCCCN1Cc1ccccc1,4.956855685489159,train,scaffold,123
A71EV2A-x3371a,3f43c3a2f722d705,Cn1cnc(CCNC(=O)c2nn(C)c3ccccc23)c1,O=C(NCCc1c[nH]cn1)c1n[nH]c2ccccc12,5.2372107018718905,train,scaffold,123
A71EV2A-x3379a,8e74abbbc1e2b506,C[C@@H](Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,O=C(NCCc1cocn1)c1n[nH]c2ccccc12,4.9657785438458255,train,scaffold,123
A71EV2A-x3392a,20093a0090e4e04b,O=C(NCCc1cocn1)N1CCc2ccccc21,O=C(NCCc1cocn1)N1CCc2ccccc21,5.162973800773931,validation,scaffold,123
A71EV2A-x3403a,d099e78cca5a1787,Cn1cc2cccc(NC(=O)Cc3cocn3)c2n1,O=C(Cc1cocn1)Nc1cccc2c[nH]nc12,4.662403924407542,validation,scaffold,123
A71EV2A-x3408a,42d88796649485d0,C=CS(=O)(=O)N1CCC[C@H](C(N)=O)C1,C1CCNCC1,5.1938200260161125,train,scaffold,123
A71EV2A-x3410a,62064f42a7d509bf,Cc1nn(C)c2cc(C(=O)NCCc3cocn3)ccc12,O=C(NCCc1cocn1)c1ccc2cn[nH]c2c1,4.945173530861923,test,scaffold,123
A71EV2A-x3417a,ec3eb5b84e718d21,NC(=O)[C@H]1CCCN(C(=O)NCC2CC2)C1,O=C(NCC1CC1)N1CCCCC1,5.064884396650843,train,scaffold,123
A71EV2A-x3419a,508099dce1acd5db,Cn1nc(C(=O)NCCc2cocn2)c2ccccc2c1=O,O=C(NCCc1cocn1)c1n[nH]c(=O)c2ccccc12,5.170374765613669,train,scaffold,123
A71EV2A-x3435a,3c337daede36c1a7,O=C(NCCc1cocn1)c1ccccc1,O=C(NCCc1cocn1)c1ccccc1,5.093196163745395,train,scaffold,123
A71EV2A-x3436a,926393691e908dfb,Cn1ncc(C(=O)NCCc2cocn2)n1,O=C(NCCc1cocn1)c1cn[nH]n1,5.5457146015143275,train,scaffold,123
A71EV2A-x3450a,0243d102810bd601,N#Cc1sccc1CC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1ccsc1)N1CCCCC1,5.008444067750377,train,scaffold,123
A71EV2A-x3480a,49ec426e727c1f72,N#CCc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(Nc1ccccc1)N1CCCCC1,5.356959172517914,train,scaffold,123
A71EV2A-x3483a,d2163c019a518a10,COCc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Nc1ccccc1)N1CCCCC1,4.8164704643841505,train,scaffold,123
A71EV2A-x3485a,d5e76313f196d8d3,COc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(Nc1ccccc1)N1CCCCC1,4.956109291095229,train,scaffold,123
A71EV2A-x3488a,92fab65378bad946,COCC(=O)Nc1c(Cl)cc(C)cc1Oc1cccc(C(N)=O)c1,c1ccc(Oc2ccccc2)cc1,4.822657723022635,train,scaffold,123
A71EV2A-x3489a,a89a0e5671303f42,Cc1nc2n(c1CC(=O)N1CCC[C@H](C(N)=O)C1)CCCC2,O=C(Cc1cnc2n1CCCC2)N1CCCCC1,5.221581099702723,train,scaffold,123
A71EV2A-x3509a,b0ba82c100894669,N#Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(Nc1ccccc1)N1CCCCC1,5.1891284469127035,train,scaffold,123
A71EV2A-x3509b,b0ba82c100894669,N#Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(Nc1ccccc1)N1CCCCC1,5.1891284469127035,train,scaffold,123
A71EV2A-x3510a,4307ec0592640d83,Cc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Nc1ccccc1)N1CCCCC1,4.386163320168128,train,scaffold,123
A71EV2A-x3593a,8e74abbbc1e2b506,C[C@@H](Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,O=C(NCCc1cocn1)c1n[nH]c2ccccc12,4.9657785438458255,train,scaffold,123
A71EV2A-x3606a,7672e05ed8781e52,Cn1ncc(-c2cc(Cl)cc(Cl)c2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1[nH]ncc1-c1ccccc1)N1CCCCC1,4.958377726777354,train,scaffold,123
A71EV2A-x3612a,4a1d557eadbfa473,NC(=O)[C@H]1CCCN(C(=O)Nc2ccccc2F)C1,O=C(Nc1ccccc1)N1CCCCC1,4.851286884122841,train,scaffold,123
A71EV2A-x3616a,a32ce34ed98c4f64,Cc1ccccc1CNC(=O)N1CCC[C@H](C(N)=O)C1,O=C(NCc1ccccc1)N1CCCCC1,4.978810700930062,train,scaffold,123
A71EV2A-x3616b,a32ce34ed98c4f64,Cc1ccccc1CNC(=O)N1CCC[C@H](C(N)=O)C1,O=C(NCc1ccccc1)N1CCCCC1,4.978810700930062,train,scaffold,123
A71EV2A-x3621a,bece2f8bff1bae4b,COc1ccccc1CC(=O)N1CC[C@@H](O)C1,O=C(Cc1ccccc1)N1CCCC1,4.951406063714552,train,scaffold,123
A71EV2A-x3623a,e0b38d62af7d1c58,Cc1cnc(CNS(=O)(=O)C[C@@H](C)c2ccccc2)o1,O=S(=O)(CCc1ccccc1)NCc1ncco1,4.8184062698439085,train,scaffold,123
A71EV2A-x3634a,766c4dc988710422,COc1ccccc1CC(=O)N1C[C@H](C(N)=O)[C@@H](C)C1,O=C(Cc1ccccc1)N1CCCC1,5.303920706565589,train,scaffold,123
A71EV2A-x3663a,24a3d0ad9d7e871d,COc1ccccc1CC(=O)N1CCO[C@@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCOCC1,4.615695746966642,test,scaffold,123
A71EV2A-x3665a,dd4f51da682cffdc,COc1ccccc1CC(=O)N1C[C@@H](C(N)=O)CC(F)(F)C1,O=C(Cc1ccccc1)N1CCCCC1,5.41096889227547,test,scaffold,123
A71EV2A-x3685a,7d49787be5f01045,COc1ccccc1CC(=O)N1CC[C@@H](NC(N)=O)C1,O=C(Cc1ccccc1)N1CCCC1,5.056011124926228,train,scaffold,123
A71EV2A-x3694a,44d668a57037ad8b,COc1ccccc1CC(=O)N1CC[C@@H](CC(N)=O)C1,O=C(Cc1ccccc1)N1CCCC1,5.055150304924533,train,scaffold,123
A71EV2A-x3694b,44d668a57037ad8b,COc1ccccc1CC(=O)N1CC[C@@H](CC(N)=O)C1,O=C(Cc1ccccc1)N1CCCC1,5.055150304924533,train,scaffold,123
A71EV2A-x3706a,7c0c2314ef8b9fb5,Cc1cccc(CNC(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(NCc1ccccc1)N1CCCCC1,4.967584368389079,train,scaffold,123
A71EV2A-x3706b,7c0c2314ef8b9fb5,Cc1cccc(CNC(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(NCc1ccccc1)N1CCCCC1,4.967584368389079,train,scaffold,123
A71EV2A-x3521a,1f9ae6b84dd343fb,N#C[C@H]1C[C@@H](NC(=O)C2(c3ccc(Cl)cc3Cl)CCOCC2)C1,O=C(NC1CCC1)C1(c2ccccc2)CCOCC1,4.726469830785563,train,scaffold,123
A71EV2A-x3522a,076aad5f7db7a4e3,COCC(=O)Nc1c(Cl)cc(C)cc1OCc1ncccn1,c1ccc(OCc2ncccn2)cc1,4.858392228943246,train,scaffold,123
A71EV2A-x3522b,076aad5f7db7a4e3,COCC(=O)Nc1c(Cl)cc(C)cc1OCc1ncccn1,c1ccc(OCc2ncccn2)cc1,4.858392228943246,train,scaffold,123
A71EV2A-x3546a,0d7986037ea98e97,COc1ccc(F)cc1CC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCCCC1,4.2094239507757765,test,scaffold,123
A71EV2A-x3548a,ad342f8ac7ce351c,COc1ccncc1CC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1cccnc1)N1CCCCC1,4.7516996536545095,train,scaffold,123
A71EV2A-x3550a,585e2abf2c57cd64,COc1ccccc1CC(=O)N1C[C@@H](C(N)=O)CC[C@@H]1C,O=C(Cc1ccccc1)N1CCCCC1,4.411260481653311,test,scaffold,123
A71EV2A-x3556a,d459d5483f934862,Cn1cc2c(CC(=O)N3CC[C@H](C(N)=O)C3)cccc2n1,O=C(Cc1cccc2n[nH]cc12)N1CCCC1,4.410050398674293,test,scaffold,123
A71EV2A-x3557a,a3b2d5b8fe9392b9,COc1ccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c(OC)c1,O=C(Cc1ccccc1)N1CCCCC1,4.635207042042172,test,scaffold,123
A71EV2A-x3557b,a3b2d5b8fe9392b9,COc1ccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c(OC)c1,O=C(Cc1ccccc1)N1CCCCC1,4.635207042042172,test,scaffold,123
A71EV2A-x3564a,239e09eaf5b9eebf,Cc1ccccc1NC(=O)c1cncc(C(N)=O)c1,O=C(Nc1ccccc1)c1cccnc1,4.632644078973981,train,scaffold,123
A71EV2A-x3568a,62c9a44d0f3d85eb,Cc1ccc2c(C(=O)NCCc3cocn3)c[nH]c2c1,O=C(NCCc1cocn1)c1c[nH]c2ccccc12,5.10808214227103,train,scaffold,123
A71EV2A-x3571a,a4e17d2f79241faf,COc1ccccc1CC(=O)N1CCCC[C@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCCCCC1,4.952204384072568,train,scaffold,123
A71EV2A-x3571b,a4e17d2f79241faf,COc1ccccc1CC(=O)N1CCCC[C@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCCCCC1,4.952204384072568,train,scaffold,123
A71EV2A-x3849a,55afabf1174c2e8d,COc1ncccc1CC(=O)N1CCC[C@@H](C(N)=O)C1,O=C(Cc1cccnc1)N1CCCCC1,4.939681121858298,train,scaffold,123
A71EV2A-x3858a,b6f1dada567c3ee2,COc1cccc(Cl)c1CC(=O)N1CCC[C@@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCCCC1,4.620456050805198,test,scaffold,123
A71EV2A-x3858b,b6f1dada567c3ee2,COc1cccc(Cl)c1CC(=O)N1CCC[C@@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCCCC1,4.620456050805198,test,scaffold,123
A71EV2A-x3862a,9cc82ea5d4066c71,COc1ccccc1[C@@H](OC)C(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCCCC1,5.523700643055132,test,scaffold,123
A71EV2A-x3867a,b8625fbfc7911114,Cc1ccccc1NC(=O)c1ccc(C)c(C(N)=O)c1,O=C(Nc1ccccc1)c1ccccc1,4.804100347590766,test,scaffold,123
A71EV2A-x3869a,55afabf1174c2e8d,COc1ncccc1CC(=O)N1CCC[C@@H](C(N)=O)C1,O=C(Cc1cccnc1)N1CCCCC1,4.939681121858298,train,scaffold,123
A71EV2A-x3883a,9cc82ea5d4066c71,COc1ccccc1[C@H](OC)C(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCCCC1,5.523700643055132,test,scaffold,123
A71EV2A-x3884a,e781bfcdf8a40784,COc1ccccc1[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCCCC1,4.930769702637148,test,scaffold,123
A71EV2A-x3884b,e781bfcdf8a40784,COc1ccccc1[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCCCC1,4.930769702637148,test,scaffold,123
A71EV2A-x3890a,7f7a7b2cf37411d9,COc1ccccc1[C@H](N)C(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCCCC1,5.349983835684398,test,scaffold,123
A71EV2A-x3895a,8c6c8bff6fad9b92,COc1ccccc1CN1C[C@@H](C(N)=O)CC1=O,O=C1CCCN1Cc1ccccc1,4.62709189585908,train,scaffold,123
A71EV2A-x3901a,63f8794a77694094,COc1ccccc1CC(=O)N1CCN[C@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCNCC1,5.622664040174432,train,scaffold,123
A71EV2A-x3908a,0f563d422a57d1f1,Cc1cccc(N(CC(=O)N2CCCCC2)C(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(CN(C(=O)N1CCCCC1)c1ccccc1)N1CCCCC1,4.627087997029894,validation,scaffold,123
A71EV2A-x3914a,8daefaa017694b6d,Cn1cc2c(CC(=O)N3CCC[C@H](C(N)=O)C3)cccc2n1,O=C(Cc1cccc2n[nH]cc12)N1CCCCC1,4.405607449624573,train,scaffold,123
A71EV2A-x3936a,e20890f6b07706d2,COC[C@]1(C(=O)N2CCC[C@H](C(N)=O)C2)CCCCO1,O=C(C1CCCCO1)N1CCCCC1,6.0,validation,scaffold,123
A71EV2A-x3937a,a1ef8e1e78382458,CO[C@@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1cccnc1,O=C(Cc1cccnc1)N1CCCCC1,4.227015096629662,train,scaffold,123
A71EV2A-x3939a,9ab8403f1ab360e9,CO[C@@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1ccccc1C,O=C(Cc1ccccc1)N1CCCCC1,4.928117992693875,test,scaffold,123
A71EV2A-x3940a,4a021ffcf674df86,COc1ccc(Cl)cc1CC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCCCC1,4.727236212379233,test,scaffold,123
A71EV2A-x3942a,24c0d288e68dd274,COc1cccc(Cl)c1CC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCCCC1,4.78560502978966,test,scaffold,123
A71EV2A-x3944a,a2b96e8da0ba9653,CCN(CC1CC1)C(=O)c1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(NCC1CC1)c1cccc(CC(=O)N2CCCCC2)c1,4.908336601699183,train,scaffold,123
A71EV2A-x3954a,1f944c6601e40e94,COc1ccc2c(n1)[C@@H](C(=O)N1CCC[C@H](C(N)=O)C1)CC2,O=C([C@H]1CCc2cccnc21)N1CCCCC1,4.452380443994761,train,scaffold,123
A71EV2A-x3956a,e65b124849b1840f,COc1ccccc1CCN1C[C@@H](C(N)=O)CC1=O,O=C1CCCN1CCc1ccccc1,5.044970753420985,train,scaffold,123
A71EV2A-x3968a,e123cedd649e8d3d,NC(=O)[C@H]1CCCN(C(=O)[C@H](OCC2CCCC2)c2ccccc2)C1,O=C([C@H](OCC1CCCC1)c1ccccc1)N1CCCCC1,5.5670035086585905,train,scaffold,123
A71EV2A-x3975a,a1c8e3cc20424a43,NC(=O)[C@H]1CCCN(C(=O)[C@@H](CN2CCCC2)c2ccccc2)C1,O=C([C@@H](CN1CCCC1)c1ccccc1)N1CCCCC1,5.024630533433036,train,scaffold,123
A71EV2A-x3977a,24575441a47f1bf3,COc1ccccc1CC(=O)N(C)CCC(N)=O,c1ccccc1,4.935542010773082,train,scaffold,123
A71EV2A-x3982a,96d072e6942e7a5a,NC(=O)[C@H]1CCCN(C(=O)C(c2ccccc2)c2ccccc2)C1,O=C(C(c1ccccc1)c1ccccc1)N1CCCCC1,5.179858685151659,train,scaffold,123
A71EV2A-x3986a,e0aab5bbce17ffdc,NC(=O)[C@H]1CCCN(C(=O)[C@@H](Sc2ccccc2)c2ccccc2)C1,O=C([C@@H](Sc1ccccc1)c1ccccc1)N1CCCCC1,5.135488918941608,train,scaffold,123
A71EV2A-x3986b,e0aab5bbce17ffdc,NC(=O)[C@H]1CCCN(C(=O)[C@@H](Sc2ccccc2)c2ccccc2)C1,O=C([C@@H](Sc1ccccc1)c1ccccc1)N1CCCCC1,5.135488918941608,train,scaffold,123
A71EV2A-x3989a,b3591726bc3d7745,NC(=O)[C@H]1CCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1,O=C(Cc1ccccc1)N1CCCC1,5.04901488179868,train,scaffold,123
A71EV2A-x3990a,ef034ada922aa0b7,COc1ccccc1CC(=O)N1C[C@H](C(N)=O)[C@@H](C(F)(F)F)C1,O=C(Cc1ccccc1)N1CCCC1,5.110698297493689,train,scaffold,123
A71EV2A-x3992a,5e1599b6a4662f25,COc1cccc(Cl)c1NC(=O)N1CC[C@H](C(N)=O)C1,O=C(Nc1ccccc1)N1CCCC1,4.612119831707907,train,scaffold,123
A71EV2A-x3992b,5e1599b6a4662f25,COc1cccc(Cl)c1NC(=O)N1CC[C@H](C(N)=O)C1,O=C(Nc1ccccc1)N1CCCC1,4.612119831707907,train,scaffold,123
A71EV2A-x3993a,ecf15c4326ece1a2,COc1cccc(Cl)c1CC(=O)N1C[C@H](C(N)=O)C[C@H](C(=O)NC2CC2)C1,O=C(NC1CC1)[C@H]1CCCN(C(=O)Cc2ccccc2)C1,4.899323290233971,train,scaffold,123
A71EV2A-x3993b,ecf15c4326ece1a2,COc1cccc(Cl)c1CC(=O)N1C[C@H](C(N)=O)C[C@H](C(=O)NC2CC2)C1,O=C(NC1CC1)[C@H]1CCCN(C(=O)Cc2ccccc2)C1,4.899323290233971,train,scaffold,123
A71EV2A-x4018a,ddfd4944de31a207,COc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)CC1,O=C(Cc1ccccc1)N1CCCCCC1,4.952188702489189,train,scaffold,123
A71EV2A-x4018b,ddfd4944de31a207,COc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)CC1,O=C(Cc1ccccc1)N1CCCCCC1,4.952188702489189,train,scaffold,123
A71EV2A-x4020a,15d23fde487dd4bd,Cc1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(Cc1ccccc1)N1CCCCC1,4.290127690297292,test,scaffold,123
A71EV2A-x4020b,15d23fde487dd4bd,Cc1cccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(Cc1ccccc1)N1CCCCC1,4.290127690297292,test,scaffold,123
A71EV2A-x4028a,a5bda5233d57bdb2,COc1ccc(C(F)(F)F)cc1CC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCCCC1,4.449959375475284,test,scaffold,123
A71EV2A-x4029a,9528fac4c84c5d01,COc1ccccc1CN1C[C@@H](C(N)=O)CCC1=O,O=C1CCCCN1Cc1ccccc1,4.956855685489159,train,scaffold,123
A71EV2A-x4031a,1089bdcdd55fca3e,COc1ncccc1NC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Nc1cccnc1)N1CCCCC1,4.487273331768478,train,scaffold,123
A71EV2A-x4031b,1089bdcdd55fca3e,COc1ncccc1NC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Nc1cccnc1)N1CCCCC1,4.487273331768478,train,scaffold,123
A71EV2A-x4032a,44d668a57037ad8b,COc1ccccc1CC(=O)N1CC[C@@H](CC(N)=O)C1,O=C(Cc1ccccc1)N1CCCC1,5.055150304924533,train,scaffold,123
A71EV2A-x4032b,44d668a57037ad8b,COc1ccccc1CC(=O)N1CC[C@@H](CC(N)=O)C1,O=C(Cc1ccccc1)N1CCCC1,5.055150304924533,train,scaffold,123
A71EV2A-x4035a,d65b66b78a8a3415,COc1cccc(Cl)c1NC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Nc1ccccc1)N1CCCCC1,4.465918205168407,train,scaffold,123
A71EV2A-x4035b,d65b66b78a8a3415,COc1cccc(Cl)c1NC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Nc1ccccc1)N1CCCCC1,4.465918205168407,train,scaffold,123
A71EV2A-x4202a,e52148f553a4c100,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CCc3cccc(Br)c32)C1,O=C([C@H]1CCc2ccccc21)N1CCCCC1,4.479401524821051,train,scaffold,123
A71EV2A-x4202b,e52148f553a4c100,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CCc3cccc(Br)c32)C1,O=C([C@H]1CCc2ccccc21)N1CCCCC1,4.479401524821051,train,scaffold,123
A71EV2A-x4290a,363699fc796e6143,CSc1c(Br)cccc1CC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1ccccc1)N1CCCCC1,4.472492797097293,test,scaffold,123
A71EV2A-x4291a,92871daa8b55e436,Cc1cc(C)c(CC(=O)N2CCC[C@H](C(N)=O)C2)c(=O)[nH]1,O=C(Cc1ccc[nH]c1=O)N1CCCCC1,4.306273051076353,train,scaffold,123
A71EV2A-x4295a,95968f4c28c03817,COc1ccccc1[C@@H](O)CN1C[C@@H](C(N)=O)CC1=O,O=C1CCCN1CCc1ccccc1,5.276902343492681,train,scaffold,123
A71EV2A-x4298a,52ac48ebce6a2263,COc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)n1,O=C(Nc1ccccn1)N1CCCCC1,5.072431269429168,train,scaffold,123
A71EV2A-x4305a,d1b9e7a1f93e0997,CC(C)Oc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Nc1ccccc1)N1CCCCC1,4.877787213913532,train,scaffold,123
A71EV2A-x4306a,8b98fa7c5cda24d0,NC(=O)[C@H]1CCCN(C(=O)Nc2ccccc2OCC(F)(F)F)C1,O=C(Nc1ccccc1)N1CCCCC1,5.15661038833037,train,scaffold,123
A71EV2A-x4308a,9f2012a8d6b3cf32,NC(=O)[C@H]1CCCN(C(=O)Nc2cc3c(cc2Cl)OCO3)C1,O=C(Nc1ccc2c(c1)OCO2)N1CCCCC1,4.6271423700874985,validation,scaffold,123
A71EV2A-x4309a,b183e6b9a86e987f,CCS(=O)(=O)c1ccc(OC)c(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(Nc1ccccc1)N1CCCCC1,4.09366495819491,train,scaffold,123
A71EV2A-x4309b,b183e6b9a86e987f,CCS(=O)(=O)c1ccc(OC)c(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(Nc1ccccc1)N1CCCCC1,4.09366495819491,train,scaffold,123
A71EV2A-x4310a,30ae145256761649,COc1c(NC(=O)N2CCC[C@H](C(N)=O)C2)cccc1C(F)(F)F,O=C(Nc1ccccc1)N1CCCCC1,5.032452023781138,train,scaffold,123
A71EV2A-x4310b,30ae145256761649,COc1c(NC(=O)N2CCC[C@H](C(N)=O)C2)cccc1C(F)(F)F,O=C(Nc1ccccc1)N1CCCCC1,5.032452023781138,train,scaffold,123
