complex_name,compound_group,official_compound_group_id,metadata_smiles,benchmark_smiles,canonical_smiles,scaffold,experimental_pKD,fragment_screen,pb_valid_ref,source_ligand_ref_sdf,source_ligand_ref_sdf_sha256,ligand_pdb,ligand_pdb_sha256,atom_count,heavy_atom_count,formal_charge,maximum_coordinate_difference_angstrom
A71EV2A-x3191a,x3191a,fb62ba5201e38712,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3occc23)C1,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3occc23)C1 |&1:3|,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3occc23)C1,O=C(Cc1cccc2occc12)N1CCCCC1,3.960269771303526,False,True,structures/x3191a/A71EV2A-x3191a/A71EV2A-x3191a_ligand_ref.sdf,ae78475ad9dd06f5bc0db1762e9a09bb6dddc094ff3f5862cf82637cff89bba7,raw/A71EV2A-x3191a.pdb,614f0a35a71edef1a4e8fc64b0434894dc8fca84f49b0c2cfc3dbcf2eeda1b9b,21,21,0,0.0
A71EV2A-x3193a,x3193a,405fbac48f5085cc,NC(=O)[C@H]1CCCN(C(=O)Cc2ccnc(Cl)c2Br)C1,NC(=O)[C@H]1CCCN(C(=O)Cc2ccnc(Cl)c2Br)C1 |&1:3|,NC(=O)[C@H]1CCCN(C(=O)Cc2ccnc(Cl)c2Br)C1,O=C(Cc1ccncc1)N1CCCCC1,4.162204305054052,False,True,structures/x3193a/A71EV2A-x3193a/A71EV2A-x3193a_ligand_ref.sdf,9f1b561efaf0f7d44cd8555ab568b84a7cb42d74e9558adbf1bf7c3c039d5fa2,raw/A71EV2A-x3193a.pdb,551c176e3f3715a56c562084c2d661c2ea457621a5293171084fe2d53aa974be,20,20,0,0.0
A71EV2A-x3201a,x3201a_x3920a_x4347a,49280d2c7a20d362,COc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1,COc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1 |&1:15|,COc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1cccnc1)N1CCCCC1,4.324153048333832,False,True,structures/x3201a_x3920a_x4347a/A71EV2A-x3201a/A71EV2A-x3201a_ligand_ref.sdf,e96d04f9bb0200bbda4b58cae5514a26e21c10be7ccbad40a83ad9f3f5c4cbbd,raw/A71EV2A-x3201a.pdb,b00b98f9c367b685b55fc900ad2dbf8c6c53389b2d509e25a0e2fafa5d56b538,20,20,0,0.0
A71EV2A-x3208a,x3208a,650f269952be0ac1,NC(=O)[C@H]1CCCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1,NC(=O)[C@H]1CCCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1 |&1:3|,NC(=O)[C@H]1CCCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1,O=C(Cc1ccccc1)N1CCCCC1,4.906948150425689,False,True,structures/x3208a/A71EV2A-x3208a/A71EV2A-x3208a_ligand_ref.sdf,e2b9cfa227fe05aba2b18b81d17714875896e0e8ef9aeec5f6b071929f8bfdee,raw/A71EV2A-x3208a.pdb,6d202c8a2007184d5be857c1644a3d7c6cb8924dcb8703b9afbff6f7df3ea26a,23,23,0,0.0
A71EV2A-x3210a,x3210a,eb8588fb724600a6,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3cn[nH]c23)C1,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3cn[nH]c23)C1 |&1:3|,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3cn[nH]c23)C1,O=C(Cc1cccc2cn[nH]c12)N1CCCCC1,5.011185771310347,False,True,structures/x3210a/A71EV2A-x3210a/A71EV2A-x3210a_ligand_ref.sdf,52199ccceb5c71ca2ebe13f8a113b87934417e06563e736f9bb4393994cf887f,raw/A71EV2A-x3210a.pdb,e128681abefd4b4f480d8ad148b0caca1478cc39d1c966c47972ece71bb0e638,21,21,0,0.0
A71EV2A-x3218a,x3218a,9cb6fa1182eda42b,NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CCNc3[nH]ncc32)C1,"NC(=O)[C@H]1CCCN(C(=O)[C@H]2CCNc3[nH]ncc32)C1 |&1:3,&2:10|",NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CCNc3[nH]ncc32)C1,O=C([C@@H]1CCNc2[nH]ncc21)N1CCCCC1,5.556193958463214,False,True,structures/x3218a/A71EV2A-x3218a/A71EV2A-x3218a_ligand_ref.sdf,2bf1726f3ff8c1a6b86f64ae5c2172a47aa7206aabaf19c45fe6070fb7b816e8,raw/A71EV2A-x3218a.pdb,32797cccd171e2cf891bb1b32ce5a652c1f7a8a69bcce6287f72b22afce306d3,20,20,0,0.0
A71EV2A-x3221a,x3221a,2f4ecaf1cc2e18b4,Cc1nc(C)c(CC(=O)N2CCC[C@H](C(N)=O)C2)[nH]1,Cc1nc(C)c(CC(=O)N2CCC[C@H](C(N)=O)C2)[nH]1 |a:13|,Cc1nc(C)c(CC(=O)N2CCC[C@H](C(N)=O)C2)[nH]1,O=C(Cc1cnc[nH]1)N1CCCCC1,5.409458546594426,False,True,structures/x3221a/A71EV2A-x3221a/A71EV2A-x3221a_ligand_ref.sdf,79ef833de5f5c1d920a3287b79ac18f4144f48191b3cdbce4ffa36c97f2d8d35,raw/A71EV2A-x3221a.pdb,24541eb7ce58163b7330be98419b3b61d600a6558f71510872318a73603cdd13,19,19,0,0.0
A71EV2A-x3225a,x3225a,81f5c5f76285c85c,Cc1nc2ccccc2n1CC(=O)N1CCC[C@H](C(N)=O)C1,Cc1nc2ccccc2n1CC(=O)N1CCC[C@H](C(N)=O)C1 |&1:17|,Cc1nc2ccccc2n1CC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cn1cnc2ccccc21)N1CCCCC1,4.137777547252243,False,True,structures/x3225a/A71EV2A-x3225a/A71EV2A-x3225a_ligand_ref.sdf,5f41405a709a027f6e08ac5bc9c4719f1830641e1408087df5d57e08ccd81c80,raw/A71EV2A-x3225a.pdb,7ed7a127ab0e4e6c34261979c1ecc2c3c370be693c5e0b94ed37efc76f9b7330,22,22,0,0.0
A71EV2A-x3229a,x3229a_x3548a,f2c2d1606a83a22f,COc1ccncc1CC(=O)N1CCC[C@H](C(N)=O)C1,COc1ccncc1CC(=O)N1CCC[C@H](C(N)=O)C1 |&1:15|,COc1ccncc1CC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1cccnc1)N1CCCCC1,4.443671499997475,False,True,structures/x3229a_x3548a/A71EV2A-x3229a/A71EV2A-x3229a_ligand_ref.sdf,c23642dab4eebea5412a33381355628138daefe3e29c52d82b4b5c3fb0449d16,raw/A71EV2A-x3229a.pdb,b1fc6025db2bd6edbd9297c954caea9748015e5224aa44c1604351585403defd,20,20,0,0.0
A71EV2A-x3264a,x3264a,b992bb5ebfcfcb4f,Cn1nc(C(=O)NCCc2cocn2)c2cccnc21,Cn1nc(C(=O)NCCc2cocn2)c2cccnc21,Cn1nc(C(=O)NCCc2cocn2)c2cccnc21,O=C(NCCc1cocn1)c1n[nH]c2ncccc12,4.981705511622298,False,True,structures/x3264a/A71EV2A-x3264a/A71EV2A-x3264a_ligand_ref.sdf,fb709f4a1c1d2e632e87abdea86de6e2695839fe58fbbdc60410c7af9c5fb0e8,raw/A71EV2A-x3264a.pdb,8ec5bdc3b48089aa80fbf1069ff3530c1db670c34b58abaaed44f88324b37245,20,20,0,0.0
A71EV2A-x3279a,x3279a,b13f44fabe55dcd4,Cc1cc(C)c(Nc2ccn(C)n2)c(C)c1,Cc1cc(C)c(Nc2ccn(C)n2)c(C)c1,Cc1cc(C)c(Nc2ccn(C)n2)c(C)c1,c1ccc(Nc2cc[nH]n2)cc1,5.3072486987698415,False,True,structures/x3279a/A71EV2A-x3279a/A71EV2A-x3279a_ligand_ref.sdf,7bbfb0f09c9049d27160fe185cd5990fb59e022ab57662dab406594a37c68d73,raw/A71EV2A-x3279a.pdb,591b6c60f86ce4e0e6a76260e879031e2c3468fc41441efcc6cf04e4fa031229,16,16,0,0.0
A71EV2A-x3286a,x3286a,f92da76c58b0a9a0,Cc1ocnc1CCNC(=O)c1nn(C)c2ccccc12,Cc1ocnc1CCNC(=O)c1nn(C)c2ccccc12,Cc1ocnc1CCNC(=O)c1nn(C)c2ccccc12,O=C(NCCc1cocn1)c1n[nH]c2ccccc12,5.09799710864927,False,True,structures/x3286a/A71EV2A-x3286a/A71EV2A-x3286a_ligand_ref.sdf,1b502ce8cc7391143d666411218473fedd91453988e700d726ccaab2a4897352,raw/A71EV2A-x3286a.pdb,16d4bf33910c8474ce770a8948068159e6ba4c449779854e9b313e3d56deac93,21,21,0,0.0
A71EV2A-x3305a,x3305a,9bf6a7440cbef166,Cc1ccc2c(cnn2C)c1Nc1ccn([C@H]2CCNC2=O)n1,Cc1ccc2c(cnn2C)c1Nc1ccn([C@H]2CCNC2=O)n1 |&1:16|,Cc1ccc2c(cnn2C)c1Nc1ccn([C@H]2CCNC2=O)n1,O=C1NCC[C@@H]1n1ccc(Nc2cccc3[nH]ncc23)n1,4.937001727490601,False,True,structures/x3305a/A71EV2A-x3305a/A71EV2A-x3305a_ligand_ref.sdf,72f6a0615dd820d876014ff38be538fd7131b2b98c3d31b7c99e38fac68aaa09,raw/A71EV2A-x3305a.pdb,a4471156e6ff666da0afd610c217512d9c3dbbbc6faa78bc565ff4a33fe72c20,23,23,0,0.0
A71EV2A-x3306a,x3306a,15a5001de38d54f4,Cn1nc(C(=O)NCCc2cscn2)c2ccccc21,Cn1nc(C(=O)NCCc2cscn2)c2ccccc21,Cn1nc(C(=O)NCCc2cscn2)c2ccccc21,O=C(NCCc1cscn1)c1n[nH]c2ccccc12,5.337951414156192,False,True,structures/x3306a/A71EV2A-x3306a/A71EV2A-x3306a_ligand_ref.sdf,0a204e7d9d5cafad7e0455ae3d7ca388fceef34838574620f512f7f1265bc48b,raw/A71EV2A-x3306a.pdb,29031a31509ca1971d8099d1c7a983549f9431b852b7f62b35c065cf08975888,20,20,0,0.0
A71EV2A-x3324a,x3324a,263c98cedd38ca61,Cn1nc(C(=O)NCCc2ccc(S(C)(=O)=O)cc2)c2ccccc21,Cn1nc(C(=O)NCCc2ccc(S(C)(=O)=O)cc2)c2ccccc21,Cn1nc(C(=O)NCCc2ccc(S(C)(=O)=O)cc2)c2ccccc21,O=C(NCCc1ccccc1)c1n[nH]c2ccccc12,4.84887783952492,False,True,structures/x3324a/A71EV2A-x3324a/A71EV2A-x3324a_ligand_ref.sdf,04369023afe28368e84ad37b49dfd7266360b2617bd429fd32b02631c777097c,raw/A71EV2A-x3324a.pdb,4d0d97129384d3792965bafc5a54b0eb82d2ca35f321fbb09cdadefdfd2db011,25,25,0,0.0
A71EV2A-x3579a,x3579a_x4029a,9528fac4c84c5d01,COc1ccccc1CN1C[C@@H](C(N)=O)CCC1=O,COc1ccccc1CN1C[C@H](C(N)=O)CCC1=O |&1:11|,COc1ccccc1CN1C[C@@H](C(N)=O)CCC1=O,O=C1CCCCN1Cc1ccccc1,4.956855685489159,False,True,structures/x3579a_x4029a/A71EV2A-x3579a/A71EV2A-x3579a_ligand_ref.sdf,e5fb5711c967fed5e85983cca434c7de570db4e95d8cdec9d34b5b2a5de18bc6,raw/A71EV2A-x3579a.pdb,64f03a9806c6de76314fdbbd5f94e4b453af16cec8db9a61591f609e44f00cb4,19,19,0,0.0
A71EV2A-x3371a,x3371a,3f43c3a2f722d705,Cn1cnc(CCNC(=O)c2nn(C)c3ccccc23)c1,Cn1cnc(CCNC(=O)c2nn(C)c3ccccc23)c1,Cn1cnc(CCNC(=O)c2nn(C)c3ccccc23)c1,O=C(NCCc1c[nH]cn1)c1n[nH]c2ccccc12,5.2372107018718905,False,True,structures/x3371a/A71EV2A-x3371a/A71EV2A-x3371a_ligand_ref.sdf,92e2a4edb26aaee8d21044ae82f14725a198a4216b36c8154b371925436c923f,raw/A71EV2A-x3371a.pdb,693db25aca0654ea6af6427321a1f1286e2f2d542343f61350b4ee5585c980c8,21,21,0,0.0
A71EV2A-x3379a,x3379a_x3593a,8e74abbbc1e2b506,C[C@@H](Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,C[C@H](Cc1cocn1)NC(=O)c1nn(C)c2ccccc12 |&1:1|,C[C@@H](Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,O=C(NCCc1cocn1)c1n[nH]c2ccccc12,4.9657785438458255,False,True,structures/x3379a_x3593a/A71EV2A-x3379a/A71EV2A-x3379a_ligand_ref.sdf,27a0dfe46649d9359bbe1912021a2402b14f240e973e0740ee6740c3b58bfd04,raw/A71EV2A-x3379a.pdb,5c42e57bf3d52dcf9cc08472b36cccbb27b5288319cffece83b846e4796b3e0d,21,21,0,0.0
A71EV2A-x3392a,x3392a,20093a0090e4e04b,O=C(NCCc1cocn1)N1CCc2ccccc21,O=C(NCCc1cocn1)N1CCc2ccccc21,O=C(NCCc1cocn1)N1CCc2ccccc21,O=C(NCCc1cocn1)N1CCc2ccccc21,5.162973800773931,False,True,structures/x3392a/A71EV2A-x3392a/A71EV2A-x3392a_ligand_ref.sdf,bd59448c1afabeb85bef3ba09169d7ece54b4dd9e62fa4c56d35d8783506a603,raw/A71EV2A-x3392a.pdb,cec7c22f3d457165c1f5e1905384e0b88ba731811f84328b1a77f50c18bb5f1c,19,19,0,0.0
A71EV2A-x3403a,x3403a,d099e78cca5a1787,Cn1cc2cccc(NC(=O)Cc3cocn3)c2n1,Cn1cc2cccc(NC(=O)Cc3cocn3)c2n1,Cn1cc2cccc(NC(=O)Cc3cocn3)c2n1,O=C(Cc1cocn1)Nc1cccc2c[nH]nc12,4.662403924407542,False,True,structures/x3403a/A71EV2A-x3403a/A71EV2A-x3403a_ligand_ref.sdf,8b2dc9b4cbfc1b1c04886ec84650c746ce53382128c471ca3cc62b421bfaad9f,raw/A71EV2A-x3403a.pdb,8ee8e9fd63001bf8fc1c06f649d6c81f1a9e7c4fb8582ee6b7cd9e82f6d14b49,19,19,0,0.0
A71EV2A-x3408a,x3408a,42d88796649485d0,C=CS(=O)(=O)N1CCC[C@H](C(N)=O)C1,C=CS(=O)(=O)N1CCC[C@H](C(N)=O)C1 |&1:9|,C=CS(=O)(=O)N1CCC[C@H](C(N)=O)C1,C1CCNCC1,5.1938200260161125,False,True,structures/x3408a/A71EV2A-x3408a/A71EV2A-x3408a_ligand_ref.sdf,0a313f47ff3802f6ec727248299eb6394b496f1260fe8b61e9fff3c5b5dd8557,raw/A71EV2A-x3408a.pdb,011e3624fedac4d927d8fd3c6e9755d5a5f377f11fded313182fa46524714bb5,14,14,0,0.0
A71EV2A-x3410a,x3410a,62064f42a7d509bf,Cc1nn(C)c2cc(C(=O)NCCc3cocn3)ccc12,Cc1nn(C)c2cc(C(=O)NCCc3cocn3)ccc12,Cc1nn(C)c2cc(C(=O)NCCc3cocn3)ccc12,O=C(NCCc1cocn1)c1ccc2cn[nH]c2c1,4.945173530861923,False,True,structures/x3410a/A71EV2A-x3410a/A71EV2A-x3410a_ligand_ref.sdf,4ee2f36d15eebb236299448197fa296c9f1c154738d9c6d3f36050f25341e8c1,raw/A71EV2A-x3410a.pdb,f0ffe7e0a1c38fe1167186e66e97220f2284c952601532b182cd6378c06bbfaf,21,21,0,0.0
A71EV2A-x3417a,x3417a,ec3eb5b84e718d21,NC(=O)[C@H]1CCCN(C(=O)NCC2CC2)C1,NC(=O)[C@H]1CCCN(C(=O)NCC2CC2)C1 |a:3|,NC(=O)[C@H]1CCCN(C(=O)NCC2CC2)C1,O=C(NCC1CC1)N1CCCCC1,5.064884396650843,False,True,structures/x3417a/A71EV2A-x3417a/A71EV2A-x3417a_ligand_ref.sdf,0b5e7f9a16430fd7f986026b38391356f6f3afe2d5611abdadba530426268700,raw/A71EV2A-x3417a.pdb,98282914ae8e403e820d376a7a85c5c2f99e0a272d376bf068b1da66363536f4,16,16,0,0.0
A71EV2A-x3419a,x3419a,508099dce1acd5db,Cn1nc(C(=O)NCCc2cocn2)c2ccccc2c1=O,Cn1nc(C(=O)NCCc2cocn2)c2ccccc2c1=O,Cn1nc(C(=O)NCCc2cocn2)c2ccccc2c1=O,O=C(NCCc1cocn1)c1n[nH]c(=O)c2ccccc12,5.170374765613669,False,True,structures/x3419a/A71EV2A-x3419a/A71EV2A-x3419a_ligand_ref.sdf,d7f43e2f728c971f7048edec5048c9cca26df234945c2477659f5b7cdc3dcd5b,raw/A71EV2A-x3419a.pdb,946ea1bae37a4cdb4d9d69ec6e9fac4ccb4eac6e10706a1f186b1b09e8fb9dbe,22,22,0,0.0
A71EV2A-x3435a,x3435a,3c337daede36c1a7,O=C(NCCc1cocn1)c1ccccc1,O=C(NCCc1cocn1)c1ccccc1,O=C(NCCc1cocn1)c1ccccc1,O=C(NCCc1cocn1)c1ccccc1,5.093196163745395,False,True,structures/x3435a/A71EV2A-x3435a/A71EV2A-x3435a_ligand_ref.sdf,6f19868a742af114a97c3701be3487afdf8775ce721700288b4c99dd607508f4,raw/A71EV2A-x3435a.pdb,d3000b32283d20f8f5291c40bba0132fbe52f74d57a2c4aa6cefdd9c456f613d,16,16,0,0.0
A71EV2A-x3436a,x3436a,926393691e908dfb,Cn1ncc(C(=O)NCCc2cocn2)n1,Cn1ncc(C(=O)NCCc2cocn2)n1,Cn1ncc(C(=O)NCCc2cocn2)n1,O=C(NCCc1cocn1)c1cn[nH]n1,5.5457146015143275,False,True,structures/x3436a/A71EV2A-x3436a/A71EV2A-x3436a_ligand_ref.sdf,b85028d04aeda59fc90d32621fa4e2634f1a4eae6c7142e28c0592fa91d6cc84,raw/A71EV2A-x3436a.pdb,ba27f17c69ce08d9f5048f006ebf9a4b54dd5284f5663c26f94edc62e7186d80,16,16,0,0.0
A71EV2A-x3450a,x3450a,0243d102810bd601,N#Cc1sccc1CC(=O)N1CCC[C@H](C(N)=O)C1,N#Cc1sccc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:14|,N#Cc1sccc1CC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Cc1ccsc1)N1CCCCC1,5.008444067750377,False,True,structures/x3450a/A71EV2A-x3450a/A71EV2A-x3450a_ligand_ref.sdf,17287559149b97806bb2f7e456deda1ef56eefc21f98aeb5752d305fba88eaeb,raw/A71EV2A-x3450a.pdb,b63d4e15e1775e476476642452c1d0115e3e20c507e564c08e1a91b5dc29a880,19,19,0,0.0
A71EV2A-x3480a,x3480a,49ec426e727c1f72,N#CCc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,N#CCc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:15|,N#CCc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(Nc1ccccc1)N1CCCCC1,5.356959172517914,False,True,structures/x3480a/A71EV2A-x3480a/A71EV2A-x3480a_ligand_ref.sdf,16219278bed056a11d51c8d40e0fb2cab71d940cfa5bdda17ad9fb0c0e306e8e,raw/A71EV2A-x3480a.pdb,f08ebd013e642d4c30d8cdf95aaec1bcbcecbe39833722bbd7ace8fbb033646d,21,21,0,0.0
A71EV2A-x3483a,x3483a,d2163c019a518a10,COCc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,COCc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,COCc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,O=C(Nc1ccccc1)N1CCCCC1,4.8164704643841505,False,True,structures/x3483a/A71EV2A-x3483a/A71EV2A-x3483a_ligand_ref.sdf,57b7f3e0c35835fa9159d9753e474b711cdcbac2b11d4c2a90c87ecfc4b4e089,raw/A71EV2A-x3483a.pdb,4ff84d3f65e92ef4db850e25732895235ca65fead9105310a91b7fc43f62f96c,21,21,0,0.0
A71EV2A-x3485a,x3485a,d5e76313f196d8d3,COc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,COc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:14|,COc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,O=C(Nc1ccccc1)N1CCCCC1,4.956109291095229,False,True,structures/x3485a/A71EV2A-x3485a/A71EV2A-x3485a_ligand_ref.sdf,353f3a0449f46554e31b9fc0790dcaef806ee78551d4201ab0935b20c8a1f896,raw/A71EV2A-x3485a.pdb,b3ec202481c512142adeeee8111335c3e66d4e4e3287ce8e8a979ed6a307e996,20,20,0,0.0
