complex_name,compound_group,smiles,experimental_pKD,exclusion_reasons
A71EV2A-x0501b,x0501a_x0501b,COc1ccccc1-c1nnco1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0514b,x0514a_x0514b,COc1ccc2sc(N)nc2c1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0514a,x0514a_x0514b,COc1ccc2sc(N)nc2c1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0515c,x0515a_x0515b_x0515c,COC(=O)c1ccncc1N,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact;reference_pose_fails_posebusters
A71EV2A-x0515a,x0515a_x0515b_x0515c,COC(=O)c1ccncc1N,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0515b,x0515a_x0515b_x0515c,COC(=O)c1ccncc1N,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0517a,x0517a,CCn1cc(C(=O)NCc2ccc(F)cc2)cn1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0525a,x0525a,O=c1ccc(OC(F)F)c[nH]1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0526a,x0526a,Cc1nccn1-c1cccnc1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0528a,x0528a_x0528b,CN1CC[C@@H](Oc2cccc(F)c2)C1=O,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0528b,x0528a_x0528b,CN1CC[C@@H](Oc2cccc(F)c2)C1=O,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0540a,x0540a,N#Cc1ccc(CNCc2ccc(F)cc2)cc1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0541a,x0541a,Cc1noc(C)c1C[C@@H](C)C(=O)N(C)C,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0554b,x0554a_x0554b,CC(=O)Nc1cccc2cc[nH]c12,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0554a,x0554a_x0554b,CC(=O)Nc1cccc2cc[nH]c12,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0556a,x0556a,Cn1cc(N)c(C(=O)NC2CCC2)n1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0566a,x0566a,CNC(=O)c1cccc2cc[nH]c12,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0571a,x0571a,COCc1cc(C(N)=O)no1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0586a,x0586a,CN1CCCc2ccc(S(N)(=O)=O)cc21,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0691a,x0691a,CNc1ccccc1S(C)(=O)=O,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0717a,x0717a,Cc1n[nH]c(C)c1S(=O)(=O)N(C)C,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0719b,x0719a_x0719b,C[C@H](CS(N)(=O)=O)c1ccccc1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0719a,x0719a_x0719b,C[C@H](CS(N)(=O)=O)c1ccccc1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0732a,x0732a,Cc1cc(C)c(NC(=O)CO)c(C)c1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0739a,x0739a,Cc1ccc(OCC(=O)N2CCOCC2)c(C)c1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0812a,x0812a,Cn1nc(C(N)=O)c2ccccc21,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0831a,x0831a,Nc1cccc(OCc2ccccc2)c1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0836a,x0836a_x0836b,COc1ccc([C@H](N)c2ccccc2)cc1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0836b,x0836a_x0836b,COc1ccc([C@H](N)c2ccccc2)cc1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0853a,x0853a,O=C(NC1CC1)c1ccc2c(c1)OCO2,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0884a,x0884a_x2454a,CC(=O)Nc1cccc(NC(N)=O)c1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0900a,x0432a_x0900a,Nc1ccc(-c2ncno2)cc1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x0911a,x0911a,CN(C(=O)[C@H]1CCNC1)c1ccccc1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0922a,x0922a,Cc1ccccc1OCC(=O)N(C)C,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x0926a,x0926a,COCC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x1019a,x1019a,COc1cc(Br)ccc1CC(=O)O,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x1068b,x1068a_x1068b_x1068c,Nc1ncccn1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x1068a,x1068a_x1068b_x1068c,Nc1ncccn1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x1068c,x1068a_x1068b_x1068c,Nc1ncccn1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x1080a,x1080a,CCC(=O)NO,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x1081a,x1081a_x1081b,O=C1NCCN1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x1081b,x1081a_x1081b,O=C1NCCN1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x1084a,x1084a,NC(=O)C1(N)CC1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x1105a,x1105a_x1105b,c1ccc(-c2ccncc2)cc1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x1105b,x1105a_x1105b,c1ccc(-c2ccncc2)cc1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x1109a,x1109a,O=C(O)c1cnc(-c2ccccc2)s1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x1128a,x1128a,Oc1nnc(-c2ccccc2)o1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x1140a,x1140a_x1140b,O=C(CN1CCCC1)c1ccccc1Cl,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x1140b,x1140a_x1140b,O=C(CN1CCCC1)c1ccccc1Cl,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x1145b,x1145b,Fc1ccc(C[C@@H]2CCCNC2)cc1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x1145a,x1145a,Fc1ccc(C[C@H]2CCCNC2)cc1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x1146a,x1146a,Oc1cnc(-c2ccccc2)nc1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x1148b,x1148a_x1148b,Brc1c[nH]cn1,,missing_experimental_pKD;absent_from_official_affinity_reference;suspected_crystallographic_artefact
A71EV2A-x1148a,x1148a_x1148b,Brc1c[nH]cn1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x1180a,x1180a_x1180b,Clc1c[nH]cn1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x1180b,x1180a_x1180b,Clc1c[nH]cn1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x1209a,x1209a,Brc1ncc[nH]1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x1255a,x1255a,COCCn1ccc(Br)cc1=O,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x1292a,x1292a,O=C(NC1CC1)c1ccccc1O,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x1293a,x1293a,Nc1nnc2ccccn12,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x1776a,x1776a,CC(=O)Nc1ccc(C(=O)[C@H](C)S)cc1,4.1807,covalent_ligand;reference_pose_fails_posebusters
A71EV2A-x1778a,x1778a,CC(=O)N1CCc2cc(C(=O)[C@H](C)S)ccc21,5.1514,covalent_ligand;reference_pose_fails_posebusters
A71EV2A-x2290a,x2290a,CNC(=O)c1nn(C)c2ccccc12,5.3762,reference_pose_fails_posebusters
A71EV2A-x2293a,x2293a,Cn1nc(C(=O)NC[C@@H]2Cc3ccccc3CN2)c2ccccc21,5.0414,reference_pose_fails_posebusters
A71EV2A-x2304a,x2304a,Cn1nc(C(=O)Nc2cn[nH]c2)c2ccccc21,4.7784,reference_pose_fails_posebusters
A71EV2A-x2339a,x2339a,Cn1nc(C(=O)NC2CC2)c2cc(F)ccc21,4.8874,reference_pose_fails_posebusters
A71EV2A-x2351a,x2351a,Cn1nc(C(N)=O)c2cc(F)ccc21,5.0507,reference_pose_fails_posebusters
A71EV2A-x2448a,x0428a_x2448a_x2448b,CN(C)S(=O)(=O)c1cccnc1,5.1075,reference_pose_fails_posebusters
A71EV2A-x2448b,x0428a_x2448a_x2448b,CN(C)S(=O)(=O)c1cccnc1,5.1075,reference_pose_fails_posebusters
A71EV2A-x2454a,x0884a_x2454a,CC(=O)Nc1cccc(NC(N)=O)c1,4.9431,reference_pose_fails_posebusters
A71EV2A-x2458a,x0332a_x2458a,CNS(=O)(=O)c1ccccc1Cl,6.0349,reference_pose_fails_posebusters
A71EV2A-x2513a,x2513a,COc1ccc(Cl)c2c1C(=O)C(=O)N2,4.6289,reference_pose_fails_posebusters
A71EV2A-x2629a,x2629a,COc1ccccc1NC(=O)Nc1cccnc1,4.7409,reference_pose_fails_posebusters
A71EV2A-x2846a,x2846a,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,,missing_experimental_pKD;absent_from_official_affinity_reference;reference_pose_fails_posebusters
A71EV2A-x2972a,x2972a,Cn1nc(C(=O)NCc2c[nH]cn2)c2ccccc21,,missing_experimental_pKD;absent_from_official_affinity_reference;reference_pose_fails_posebusters
A71EV2A-x3066a,x0451a_x3066a,CNC(=O)c1cn(C)c2ccccc12,4.8228,reference_pose_fails_posebusters
A71EV2A-x3186a,x3186a,COc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1,4.1284,reference_pose_fails_posebusters
A71EV2A-x3188a,x3188a_x3189a_x3914a,Cn1cc2c(CC(=O)N3CCC[C@H](C(N)=O)C3)cccc2n1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3189a,x3188a_x3189a_x3914a,Cn1cc2c(CC(=O)N3CCC[C@H](C(N)=O)C3)cccc2n1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3194a,x3194a,Cc1cc(CC(=O)N2CCC[C@H](C(N)=O)C2)ccn1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3207a,x3207a,NC(=O)[C@H]1CCCN(C(=O)Cc2ccnc(N)c2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3222a,x3222a,NC(=O)[C@H]1CCCN(C(=O)c2[nH]ncc2Br)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3223a,x3223a,NC(=O)[C@H]1CCCN(C(=O)c2ccnc3[nH]ncc23)C1,4.7878,reference_pose_fails_posebusters
A71EV2A-x3234a,x3234a,Cc1cc(C)c(Nc2ccn(C3COC3)n2)c(C)c1,5.0168,reference_pose_fails_posebusters
A71EV2A-x3280a,x3280a,Cn1nc(C(=O)NCC(F)(F)c2ccccn2)c2ccccc21,5.1681,reference_pose_fails_posebusters
A71EV2A-x3581a,x3581a,COc1ccccc1CC(=O)N1CC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3585a,x3585a,Cc1cc(NC(=O)N2CCC[C@H](C(N)=O)C2)c2cnn(C)c2c1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3618a,x3618a_x3618b,CCNC(=O)c1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3618b,x3618a_x3618b,CCNC(=O)c1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3521b,x3521b,N#C[C@H]1C[C@H](NC(=O)C2(c3ccc(Cl)cc3Cl)CCOCC2)C1,4.7265,suspected_crystallographic_artefact
A71EV2A-x3550b,x3550a_x3550b,COc1ccccc1CC(=O)N1C[C@@H](C(N)=O)CC[C@@H]1C,4.4113,suspected_crystallographic_artefact
A71EV2A-x3575a,x3575a,COc1c(C#N)cccc1CC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3868a,x3868a,COc1ccccc1N(C)C(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3897a,x3897a,COc1ccncc1CC(=O)N1CCC[C@@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3920a,x3201a_x3920a_x4347a,COc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3938a,x3938a,C[C@]1(C(=O)N2CCC[C@H](C(N)=O)C2)CCCCO1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3963a,x3963a_x3963b_x4489a_x4489b,NC(=O)[C@H]1CCCN(C(=O)Cc2cccnc2N)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3963b,x3963a_x3963b_x4489a_x4489b,NC(=O)[C@H]1CCCN(C(=O)Cc2cccnc2N)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x3977b,x3977a_x3977b,COc1ccccc1CC(=O)N(C)CCC(N)=O,4.9355,suspected_crystallographic_artefact
A71EV2A-x3981a,x3981a,NC(=O)[C@H]1CCCN(C(=O)[C@@H](CCc2ccccc2)c2ccccc2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4012a,x4012a_x4012b,COc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4012b,x4012a_x4012b,COc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4017a,x4017a_x4017b,Cn1ncc2c(NC(=O)N3CCC[C@H](C(N)=O)C3)cccc21,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4017b,x4017a_x4017b,Cn1ncc2c(NC(=O)N3CCC[C@H](C(N)=O)C3)cccc21,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4292a,x4292a,NC(=O)[C@H]1CCCN(C(=O)Cc2cnccc2C(F)(F)F)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4303a,x4303a_x4303b,COc1ccc(S(C)(=O)=O)cc1NC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4303b,x4303a_x4303b,COc1ccc(S(C)(=O)=O)cc1NC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4304a,x4304a,COc1ccc(NS(C)(=O)=O)cc1NC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4315a,x4315a,NC(=O)[C@H]1CCC(=O)N(Cc2cccc3c2OCO3)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4317a,x4317a,COc1ccccc1CC(=O)N1C[C@@H](C(N)=O)CC12CC2,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4324a,x4324a,NC(=O)[C@H]1CCC(=O)N(Cc2cccc3c2OCC3)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4331a,x4331a_x4331b,CCc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4331b,x4331a_x4331b,CCc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4333a,x4333a,Cc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4342a,x4342a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccnc2C(F)(F)F)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4343a,x4343a_x4343b,NC(=O)[C@H]1CCCN(C(=O)Cc2ccnc(O)c2Br)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4343b,x4343a_x4343b,NC(=O)[C@H]1CCCN(C(=O)Cc2ccnc(O)c2Br)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4346a,x4346a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3nonc23)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4350a,x4350a,Cc1cnccc1CC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4365a,x4365a_x4365b,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3c2OCCO3)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4365b,x4365a_x4365b,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3c2OCCO3)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4373a,x4373a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3c2OCO3)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4380a,x4380a,NC(=O)[C@H]1CCCN(C(=O)Cc2cc(F)ccc2Cl)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4254a,x4254a,NC(=O)[C@H]1CCCN(C(=O)[C@H]2Cc3cccc(Cl)c32)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4390a,x4390a,COc1ccccc1CCN1C[C@H](C(N)=O)CCC1=O,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4415a,x4415a,COc1ccc(C#N)cc1NC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4420a,x4420a,NC(=O)[C@H]1CCC(=O)N(Cc2cc(Cl)c3c[nH]nc3c2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4421a,x4421a,COc1ccncc1CC(=O)N1CC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4423a,x4423a,COc1ccncc1CC(=O)N1CCC[C@H](CCO)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4467a,x4467a,NC(=O)[C@H]1CCCN(C(=O)C2(n3cccn3)CCCC2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4489a,x3963a_x3963b_x4489a_x4489b,NC(=O)[C@H]1CCCN(C(=O)Cc2cccnc2N)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4489b,x3963a_x3963b_x4489a_x4489b,NC(=O)[C@H]1CCCN(C(=O)Cc2cccnc2N)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4490a,x4490a_x4546a,NC(=O)[C@H]1CCC(=O)N(Cc2cccc3cc[nH]c23)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4494a,x4494a,C[C@@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1noc2ccccc12,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4496a,x4496a,NC(=O)[C@H]1CCCN(C(=O)C2(c3ccnn3C(F)(F)F)CC2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
